id,fund,company,risk,6m_yield,1y_yield,3y_yield
1,한화천연자원증권자투자신탁(주식),한화자산운용,높은위험,-5.07,30.36,65.1
2,NH-Amundi인도네시아포커스증권투자신탁[주식],엔에이치아문디자산운용,높은위험,14.7,30.19,16.08
3,멀티에셋삼바브라질증권자투자신탁[주식],멀티에셋자산운용,매우높은위험,-3.62,17.72,0.02
4,삼성인도중소형FOCUS증권자투자신탁UH[주식],삼성자산운용,높은위험,9.1,12.38,101.93
5,한국투자미국배당귀족증권자투자신탁UH(주식),한국투자신탁운용,높은위험,1.2,11.42,
6,키움글로벌천연자원증권투자신탁 1[주식],키움투자자산운용,높은위험,-14.29,11.3,27.6
7,한국투자미국배당귀족증권자투자신탁(USD)(주식),한국투자신탁운용,높은위험,0.45,10.97,
8,미래에셋인도중소형포커스증권자투자신탁 1(주식),미래에셋자산운용,높은위험,11.68,10.48,104.76
9,IBK베트남플러스아시아증권투자신탁[주식],아이비케이자산운용,높은위험,-6.5,9.7,55.43
10,미래에셋연금브라질업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,-5.94,8.96,-3.22
11,미래에셋브라질업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,-5.92,8.94,-3.25
12,미래에셋인디아디스커버리증권투자신탁 1(주식),미래에셋자산운용,높은위험,10.17,8.88,80.41
13,미래에셋연금인디아인프라증권자투자신탁 1(주식),미래에셋자산운용,높은위험,10.81,8.71,55.78
14,미래에셋연금인디아업종대표증권자투자신탁 1(주식),미래에셋자산운용,높은위험,9.2,8.63,77.14
15,마이다스거북이70소득공제장기증권자투자신탁 1 (주식)(운용),마이다스에셋자산운용,낮은위험,4.06,8.6,37.83
16,미래에셋미국배당프리미엄증권자투자신탁(주식)(UH),미래에셋자산운용,높은위험,-0.95,7.88,32.64
17,신한코리아롱숏증권자투자신탁[주식],신한자산운용,보통위험,-1.89,7.78,37.27
18,NH-Amundi아세안플러스증권투자신탁 1[주식],엔에이치아문디자산운용,다소높은위험,0.1,7.39,19.39
19,미래에셋베트남고배당IPO증권자투자신탁(UH)(주식),미래에셋자산운용,높은위험,-6.05,7.29,51.49
20,삼성인디아증권자투자신탁 2[주식],삼성자산운용,높은위험,6.41,6.82,85.24
21,미래에셋인디아솔로몬증권투자신탁 1(주식),미래에셋자산운용,높은위험,6.45,6.12,69.96
22,키움베트남투모로우증권자투자신탁UH[주식],키움투자자산운용,높은위험,-9.62,5.09,
23,삼성아세안플러스베트남증권자투자신탁UH[주식],삼성자산운용,높은위험,-5.29,3.69,49.86
24,삼성아세안증권자투자신탁 2[주식],삼성자산운용,높은위험,2.4,2.45,23.54
25,삼성클래식아세안연금증권전환형자투자신탁 1[주식],삼성자산운용,높은위험,3.53,2.1,22.87
26,삼성베트남증권자투자신탁UH[주식형],삼성자산운용,높은위험,-17.81,2.1,79.37
27,삼성미국인덱스증권자투자신탁UH[주식],삼성자산운용,높은위험,-6.57,2.05,52.82
28,미래에셋베트남증권자투자신탁 1(UH)(주식),미래에셋자산운용,높은위험,-5.44,2.03,46.05
29,삼성달러표시미국인덱스증권투자신탁(USD)[주식],삼성자산운용,높은위험,-6.21,1.49,
30,한국밸류글로벌리서치배당인컴증권자투자신탁(주식),한국투자밸류자산운용,높은위험,-6.88,1.43,
31,유리베트남알파증권자투자신탁UH[주식]_운용,유리자산운용,높은위험,-14.11,0.46,58.26
32,미래에셋라틴인덱스증권투자신탁 1(주식),미래에셋자산운용,매우높은위험,-17.77,0.24,-14.36
33,알파글로벌신재생에너지증권자투자신탁 1[주식],알파자산운용,매우높은위험,-0.43,0.05,114.08
34,유리글로벌거래소증권투자신탁(USD)[주식]운용,유리자산운용,높은위험,-4.55,0.02,
35,피델리티인디아증권자투자신탁(주식),피델리티자산운용,높은위험,5.66,-0.07,54.95
36,한화베트남레전드증권자투자신탁(주식),한화자산운용,높은위험,-8.35,-0.33,43.15
37,한국투자베트남그로스증권자투자신탁UH(주식),한국투자신탁운용,높은위험,-11.2,-0.38,47.73
38,한국투자SSGA글로벌저변동성증권자투자신탁H(주식),한국투자신탁운용,다소높은위험,-5.93,-0.46,6.46
39,신한중남미플러스증권자투자신탁(H)[주식](종류),신한자산운용,매우높은위험,-17.,-0.6,-15.05
40,신한브라질증권자투자신탁(H)[주식](종류),신한자산운용,매우높은위험,-17.69,-0.79,-19.68
41,미래에셋스마트롱숏70증권자투자신탁 1(주식),미래에셋자산운용,보통위험,-1.42,-1.11,34.79
42,교보악사글로벌마켓파워증권자투자신탁(UH)[주식](운용),교보악사자산운용,높은위험,-7.23,-1.13,40.62
43,키움퓨처에너지증권투자신탁 1[주식],키움투자자산운용,매우높은위험,-3.33,-1.66,69.09
44,한화그린히어로증권자투자신탁(주식),한화자산운용,높은위험,0.55,-1.76,
45,미래에셋유럽블루칩인덱스증권자투자신탁 1(주식),미래에셋자산운용,높은위험,-8.44,-2.44,16.03
46,미래에셋MSCIAC월드인덱스증권자투자신탁(주식)(UH),미래에셋자산운용,높은위험,-6.77,-2.69,38.18
47,멀티에셋글로벌클린에너지증권자투자신탁 2[주식],멀티에셋자산운용,매우높은위험,-3.31,-2.78,80.56
48,멀티에셋글로벌클린에너지증권자투자신탁[주식],멀티에셋자산운용,매우높은위험,-3.3,-2.8,80.52
49,KB브라질증권자투자신탁(주식)(운용),케이비자산운용,매우높은위험,-21.17,-3.2,-15.95
50,에셋플러스슈퍼아시아리치투게더증권자투자신탁 1(주식),에셋플러스자산운용,높은위험,-1.93,-3.67,31.61
